Student Name,Admission No.,Book Name,Date of Issue,Date of Return,Days Due
Sanya Mehta,2022PE6850,Introduction to Algorithms,2026-01-03,2026-01-22,5
Sanya Mehta,2022PE6850,Microprocessors,2026-02-17,2026-02-25,0
Sanya Mehta,2022PE6850,Introduction to Algorithms,2026-01-19,2026-02-03,1
Sanya Mehta,2022PE6850,Web Technologies,2026-02-18,2026-03-14,10
Ananya Iyer,2022PE7680,Signals and Systems,2026-01-29,2026-02-19,7
Ananya Iyer,2022PE7680,Signals and Systems,2026-02-16,2026-03-08,6
Ananya Iyer,2022PE7680,IC Engines,2026-02-06,2026-02-27,7
Ananya Iyer,2022PE7680,Thermodynamics,2026-02-20,2026-02-25,0
Sanya Mehta,2023PE7157,Web Technologies,2026-01-30,2026-02-15,2
Sanya Mehta,2023PE7157,IC Engines,2026-02-28,2026-03-14,0
Sanya Mehta,2023PE7157,Machine Learning,2026-02-08,2026-02-16,0
Sanya Mehta,2023PE7157,Web Technologies,2026-02-04,2026-02-26,8
Ananya Iyer,2023PE8496,Machine Learning,2026-02-02,2026-02-16,0
Ananya Iyer,2023PE8496,Thermodynamics,2026-02-05,2026-02-21,2
Ananya Iyer,2023PE8496,Web Technologies,2026-02-05,2026-02-15,0
Ananya Iyer,2023PE8496,IC Engines,2026-01-01,2026-01-23,8
Arjun Nair,2023PE1956,Signals and Systems,2026-01-17,2026-02-05,5
Arjun Nair,2023PE1956,IC Engines,2026-02-20,2026-03-04,0
Arjun Nair,2023PE1956,Machine Learning,2026-01-27,2026-02-21,11
Arjun Nair,2023PE1956,Machine Learning,2026-02-01,2026-02-19,4
Vihaan Patil,2022PE7572,Thermodynamics,2026-02-24,2026-03-02,0
Vihaan Patil,2022PE7572,Thermodynamics,2026-02-25,2026-03-18,7
Vihaan Patil,2022PE7572,Thermodynamics,2026-01-21,2026-02-03,0
Vihaan Patil,2022PE7572,Machine Learning,2026-01-17,2026-02-04,4
Kiara Joshi,2023PE2691,IC Engines,2026-02-08,2026-03-03,9
Kiara Joshi,2023PE2691,Microprocessors,2026-01-02,2026-01-15,0
Kiara Joshi,2023PE2691,Machine Learning,2026-01-03,2026-01-25,8
Kiara Joshi,2023PE2691,Signals and Systems,2026-02-19,2026-02-26,0
Aarav Sharma,2022PE7248,Signals and Systems,2026-02-21,2026-03-08,1
Aarav Sharma,2022PE7248,Microprocessors,2026-01-31,2026-02-19,5
Aarav Sharma,2022PE7248,Web Technologies,2026-01-06,2026-01-27,7
Aarav Sharma,2022PE7248,Machine Learning,2026-01-21,2026-02-08,4
Aarav Sharma,2023PE8629,Machine Learning,2026-02-14,2026-03-04,4
Aarav Sharma,2023PE8629,Thermodynamics,2026-01-27,2026-02-09,0
Aarav Sharma,2023PE8629,Signals and Systems,2026-01-18,2026-02-01,0
Aarav Sharma,2023PE8629,Machine Learning,2026-01-30,2026-02-19,6
Kiara Joshi,2023PE1597,Microprocessors,2026-01-20,2026-02-05,2
Kiara Joshi,2023PE1597,IC Engines,2026-01-16,2026-02-08,9
Kiara Joshi,2023PE1597,Machine Learning,2026-01-03,2026-01-23,6
Kiara Joshi,2023PE1597,Introduction to Algorithms,2026-01-29,2026-02-14,2
Kiara Joshi,2022PE2487,Introduction to Algorithms,2026-01-19,2026-02-13,11
Kiara Joshi,2022PE2487,Microprocessors,2026-02-10,2026-02-27,3
Kiara Joshi,2022PE2487,Thermodynamics,2026-01-20,2026-02-14,11
Kiara Joshi,2022PE2487,Signals and Systems,2026-02-27,2026-03-21,8
Ananya Iyer,2022PE3979,Machine Learning,2026-02-11,2026-03-08,11
Ananya Iyer,2022PE3979,Signals and Systems,2026-01-31,2026-02-08,0
Ananya Iyer,2022PE3979,Web Technologies,2026-01-25,2026-02-12,4
Ananya Iyer,2022PE3979,Signals and Systems,2026-01-30,2026-02-15,2
Ananya Iyer,2023PE8513,Web Technologies,2026-01-20,2026-01-25,0
Ananya Iyer,2023PE8513,Thermodynamics,2026-02-24,2026-03-03,0
Ananya Iyer,2023PE8513,Microprocessors,2026-01-01,2026-01-13,0
Ananya Iyer,2023PE8513,Introduction to Algorithms,2026-01-12,2026-02-04,9
Sanya Mehta,2022PE7282,Thermodynamics,2026-01-04,2026-01-20,2
Sanya Mehta,2022PE7282,Web Technologies,2026-01-01,2026-01-19,4
Sanya Mehta,2022PE7282,Introduction to Algorithms,2026-01-12,2026-02-05,10
Sanya Mehta,2022PE7282,Introduction to Algorithms,2026-02-02,2026-02-07,0
Kiara Joshi,2023PE9636,Signals and Systems,2026-02-04,2026-02-10,0
Kiara Joshi,2023PE9636,Machine Learning,2026-02-27,2026-03-22,9
Kiara Joshi,2023PE9636,Thermodynamics,2026-01-01,2026-01-13,0
Kiara Joshi,2023PE9636,Microprocessors,2026-02-14,2026-03-04,4
Ananya Iyer,2022PE9998,Introduction to Algorithms,2026-01-15,2026-02-09,11
Ananya Iyer,2022PE9998,IC Engines,2026-01-12,2026-01-25,0
Ananya Iyer,2022PE9998,Microprocessors,2026-02-10,2026-02-21,0
Ananya Iyer,2022PE9998,IC Engines,2026-02-12,2026-02-18,0
Arjun Nair,2022PE7564,Web Technologies,2026-02-27,2026-03-13,0
Arjun Nair,2022PE7564,Machine Learning,2026-03-02,2026-03-16,0
Arjun Nair,2022PE7564,IC Engines,2026-01-19,2026-01-31,0
Arjun Nair,2022PE7564,Signals and Systems,2026-02-08,2026-02-28,6
Vihaan Patil,2022PE7318,IC Engines,2026-01-09,2026-02-02,10
Vihaan Patil,2022PE7318,Thermodynamics,2026-01-09,2026-01-29,6
Vihaan Patil,2022PE7318,Signals and Systems,2026-02-13,2026-02-20,0
Vihaan Patil,2022PE7318,Machine Learning,2026-03-02,2026-03-27,11
Rohan Verma,2023PE9408,Signals and Systems,2026-02-05,2026-02-20,1
Rohan Verma,2023PE9408,Thermodynamics,2026-01-21,2026-02-08,4
Rohan Verma,2023PE9408,Introduction to Algorithms,2026-02-04,2026-02-13,0
Rohan Verma,2023PE9408,Machine Learning,2026-01-25,2026-02-16,8
Sanya Mehta,2022PE9819,Microprocessors,2026-02-13,2026-02-24,0
Sanya Mehta,2022PE9819,Introduction to Algorithms,2026-03-01,2026-03-17,2
Sanya Mehta,2022PE9819,Thermodynamics,2026-01-12,2026-01-24,0
Sanya Mehta,2022PE9819,Thermodynamics,2026-01-24,2026-02-03,0
Vihaan Patil,2023PE9442,Thermodynamics,2026-02-22,2026-03-04,0
Vihaan Patil,2023PE9442,Web Technologies,2026-01-28,2026-02-14,3
Vihaan Patil,2023PE9442,Machine Learning,2026-01-03,2026-01-21,4
Vihaan Patil,2023PE9442,Thermodynamics,2026-02-07,2026-02-16,0
Vihaan Patil,2022PE5345,Web Technologies,2026-01-09,2026-01-24,1
Vihaan Patil,2022PE5345,Thermodynamics,2026-03-01,2026-03-19,4
Vihaan Patil,2022PE5345,Thermodynamics,2026-01-13,2026-01-19,0
Vihaan Patil,2022PE5345,Introduction to Algorithms,2026-02-08,2026-02-17,0
Aarav Sharma,2022PE5976,Microprocessors,2026-01-21,2026-01-26,0
Aarav Sharma,2022PE5976,Signals and Systems,2026-03-02,2026-03-27,11
Aarav Sharma,2022PE5976,Web Technologies,2026-02-20,2026-03-15,9
Aarav Sharma,2022PE5976,IC Engines,2026-02-21,2026-03-07,0
Sanya Mehta,2023PE3148,Introduction to Algorithms,2026-02-11,2026-02-24,0
Sanya Mehta,2023PE3148,IC Engines,2026-02-28,2026-03-12,0
Sanya Mehta,2023PE3148,Microprocessors,2026-03-01,2026-03-23,8
