Name,Admission_Number,Department
Vihaan Iyer,2022PE7272,AUTO
Rohan Sharma,2022PE2658,AUTO
Riya Deshmukh,2023PE4648,AUTO
Isha Deshmukh,2023PE7322,AUTO
Riya Kulkarni,2022PE1629,AUTO
Vihaan Iyer,2023PE8282,AUTO
Kiara Mehta,2023PE1595,AUTO
Ananya Gupta,2023PE2738,AUTO
Rohan Deshmukh,2023PE5036,AUTO
Aarav Patil,2023PE5833,AUTO
Tanvi Joshi,2022PE3925,AUTO
Kiara Nair,2022PE9921,AUTO
Vihaan Mehta,2022PE7094,AUTO
Aarav Iyer,2022PE6824,AUTO
Karan Sharma,2023PE3377,AUTO
Tanvi Sharma,2022PE5611,AUTO
Aditya Deshmukh,2023PE3764,AUTO
Vihaan Iyer,2023PE4717,AUTO
Arjun Verma,2022PE2104,AUTO
Aditya Sharma,2022PE7400,AUTO
Aditya Sharma,2023PE7454,AUTO
Karan Iyer,2022PE8460,AUTO
Ananya Nair,2022PE4331,AUTO
Aarav Iyer,2023PE7522,AUTO
Riya Joshi,2022PE1858,AUTO
Ananya Mehta,2023PE6559,AUTO
Riya Joshi,2022PE9369,AUTO
Sanya Gupta,2023PE8273,AUTO
Rohan Deshmukh,2022PE1620,AUTO
Aarav Deshmukh,2022PE5801,AUTO
Rohan Nair,2023PE9163,AUTO
Riya Joshi,2022PE4008,AUTO
Sanya Nair,2023PE3158,AUTO
Sanya Deshmukh,2022PE6790,AUTO
Ananya Nair,2023PE9711,AUTO
Aarav Mehta,2022PE9348,AUTO
Aarav Sharma,2023PE2239,AUTO
Arjun Sharma,2022PE1642,AUTO
Isha Mehta,2023PE5712,AUTO
Ananya Joshi,2023PE3742,AUTO
Sanya Joshi,2023PE7449,AUTO
Sanya Iyer,2022PE1827,AUTO
Riya Kulkarni,2023PE7278,AUTO
Aarav Verma,2023PE2048,AUTO
Rohan Verma,2022PE6766,AUTO
Sanya Patil,2023PE3077,AUTO
Karan Joshi,2023PE4111,AUTO
Sanya Kulkarni,2022PE9667,AUTO
Kiara Sharma,2023PE6643,AUTO
Kiara Sharma,2023PE2170,AUTO
