Name,Admission_Number,Department
Sumit Roy,2023PE0394,CS
Riya Iyer,2022PE8435,CS
Arjun Patil,2022PE8795,CS
Sanya Patil,2022PE4878,CS
Ananya Joshi,2023PE4774,CS
Vihaan Mehta,2022PE1468,CS
Arjun Verma,2023PE4974,CS
Aarav Iyer,2022PE2787,CS
Sanya Joshi,2023PE8960,CS
Ananya Gupta,2023PE2585,CS
Isha Patil,2022PE5007,CS
Sanya Deshmukh,2022PE5227,CS
Kiara Iyer,2022PE8153,CS
Arjun Joshi,2023PE9722,CS
Kiara Gupta,2023PE9811,CS
Sanya Mehta,2023PE4677,CS
Sanya Sharma,2022PE9867,CS
Kiara Joshi,2022PE7309,CS
Riya Mehta,2023PE1157,CS
Tanvi Mehta,2022PE9394,CS
Aditya Kulkarni,2022PE8345,CS
Arjun Deshmukh,2023PE2334,CS
Aditya Patil,2023PE7008,CS
Arjun Sharma,2023PE3997,CS
Arjun Patil,2022PE1242,CS
Arjun Joshi,2023PE2634,CS
Vihaan Sharma,2023PE4455,CS
Tanvi Iyer,2022PE2043,CS
Tanvi Patil,2022PE8439,CS
Kiara Nair,2023PE7206,CS
Aditya Joshi,2023PE4788,CS
Arjun Nair,2023PE8167,CS
Sanya Mehta,2022PE2980,CS
Arjun Verma,2022PE5288,CS
Vihaan Deshmukh,2022PE4557,CS
Riya Patil,2022PE6712,CS
Isha Joshi,2022PE9838,CS
Vihaan Mehta,2023PE1678,CS
Tanvi Mehta,2023PE2589,CS
Aarav Verma,2023PE9110,CS
Arjun Sharma,2022PE9901,CS
Karan Nair,2023PE5909,CS
Karan Sharma,2022PE3717,CS
Riya Gupta,2023PE5496,CS
Tanvi Kulkarni,2023PE3783,CS
Vihaan Verma,2023PE4200,CS
Isha Patil,2022PE2536,CS
Aditya Joshi,2022PE2052,CS
Riya Iyer,2022PE4011,CS
Aarav Patil,2023PE9513,CS
Ananya Kulkarni,2023PE6392,CS
