Name,Admission_Number,Department
Aarav Deshmukh,2022PE7846,ECS
Rohan Iyer,2022PE9892,ECS
Isha Gupta,2022PE7866,ECS
Rohan Mehta,2022PE4765,ECS
Tanvi Kulkarni,2022PE4730,ECS
Isha Iyer,2023PE1010,ECS
Kiara Gupta,2023PE9477,ECS
Vihaan Verma,2023PE8838,ECS
Sanya Sharma,2022PE5248,ECS
Riya Deshmukh,2022PE8817,ECS
Riya Kulkarni,2022PE4590,ECS
Karan Deshmukh,2023PE8505,ECS
Ananya Joshi,2022PE6186,ECS
Vihaan Iyer,2022PE4494,ECS
Kiara Iyer,2023PE2887,ECS
Rohan Iyer,2022PE7450,ECS
Kiara Gupta,2022PE6300,ECS
Riya Gupta,2022PE1702,ECS
Tanvi Joshi,2023PE9864,ECS
Vihaan Joshi,2023PE1433,ECS
Sanya Gupta,2022PE3369,ECS
Ananya Iyer,2022PE3475,ECS
Sanya Joshi,2023PE5881,ECS
Vihaan Kulkarni,2023PE1809,ECS
Riya Patil,2022PE4297,ECS
Tanvi Iyer,2023PE5854,ECS
Tanvi Mehta,2023PE3290,ECS
Aditya Sharma,2023PE1964,ECS
Tanvi Patil,2023PE2460,ECS
Sanya Patil,2022PE8786,ECS
Arjun Patil,2023PE5328,ECS
Arjun Mehta,2023PE7558,ECS
Vihaan Patil,2022PE5725,ECS
Vihaan Gupta,2023PE8880,ECS
Vihaan Patil,2022PE7566,ECS
Vihaan Iyer,2022PE9317,ECS
Kiara Verma,2022PE3184,ECS
Arjun Patil,2022PE6138,ECS
Isha Verma,2022PE1459,ECS
Karan Sharma,2022PE5740,ECS
Vihaan Deshmukh,2022PE7863,ECS
Aditya Deshmukh,2023PE1279,ECS
Riya Deshmukh,2022PE8688,ECS
Kiara Mehta,2023PE6132,ECS
Aarav Nair,2023PE4216,ECS
Sanya Gupta,2023PE9299,ECS
Aditya Sharma,2023PE2369,ECS
Tanvi Patil,2022PE6291,ECS
Rohan Nair,2023PE4896,ECS
Ananya Verma,2023PE6884,ECS
