Name,Admission_Number,Department
Karan Kulkarni,2022PE1900,EXTC
Aditya Kulkarni,2022PE5377,EXTC
Sanya Mehta,2022PE2585,EXTC
Karan Iyer,2023PE2751,EXTC
Karan Sharma,2023PE9619,EXTC
Vihaan Iyer,2023PE8727,EXTC
Aditya Gupta,2023PE9427,EXTC
Riya Nair,2023PE8824,EXTC
Arjun Nair,2022PE1927,EXTC
Karan Gupta,2022PE6558,EXTC
Vihaan Patil,2022PE1807,EXTC
Rohan Nair,2023PE5887,EXTC
Arjun Gupta,2022PE5403,EXTC
Aarav Gupta,2023PE2037,EXTC
Kiara Iyer,2023PE7774,EXTC
Riya Deshmukh,2022PE7589,EXTC
Karan Patil,2022PE9173,EXTC
Aarav Deshmukh,2022PE3309,EXTC
Isha Verma,2023PE4499,EXTC
Arjun Mehta,2023PE7501,EXTC
Vihaan Sharma,2023PE2114,EXTC
Vihaan Joshi,2022PE5560,EXTC
Isha Iyer,2022PE7943,EXTC
Kiara Verma,2023PE6136,EXTC
Tanvi Iyer,2023PE1276,EXTC
Rohan Patil,2022PE6713,EXTC
Kiara Verma,2022PE4094,EXTC
Karan Nair,2023PE5150,EXTC
Aarav Joshi,2023PE6184,EXTC
Tanvi Verma,2023PE9695,EXTC
Vihaan Joshi,2022PE8382,EXTC
Aarav Verma,2022PE7002,EXTC
Karan Gupta,2023PE5924,EXTC
Aditya Joshi,2023PE5414,EXTC
Rohan Nair,2022PE1592,EXTC
Aditya Gupta,2023PE3217,EXTC
Isha Iyer,2022PE2951,EXTC
Aditya Kulkarni,2022PE1403,EXTC
Isha Sharma,2022PE2760,EXTC
Karan Kulkarni,2022PE9545,EXTC
Vihaan Joshi,2022PE8986,EXTC
Sanya Mehta,2023PE7672,EXTC
Aditya Sharma,2023PE8330,EXTC
Isha Verma,2023PE7354,EXTC
Isha Sharma,2023PE6531,EXTC
Karan Deshmukh,2022PE5781,EXTC
Vihaan Iyer,2023PE5194,EXTC
Tanvi Verma,2023PE6489,EXTC
Sanya Nair,2022PE7773,EXTC
