Name,Admission_Number,Department
Isha Sharma,2023PE1415,IT
Aarav Deshmukh,2023PE2561,IT
Karan Sharma,2023PE9807,IT
Karan Nair,2023PE9345,IT
Vihaan Verma,2023PE9789,IT
Tanvi Iyer,2023PE6592,IT
Karan Mehta,2022PE3828,IT
Kiara Patil,2023PE9132,IT
Rohan Kulkarni,2023PE2523,IT
Ananya Sharma,2023PE9721,IT
Rohan Kulkarni,2023PE3354,IT
Aditya Joshi,2023PE9572,IT
Isha Gupta,2022PE4197,IT
Isha Deshmukh,2022PE8426,IT
Ananya Kulkarni,2022PE8789,IT
Aditya Iyer,2022PE8059,IT
Aditya Joshi,2022PE4873,IT
Kiara Joshi,2023PE5740,IT
Kiara Sharma,2022PE9220,IT
Isha Iyer,2022PE8632,IT
Arjun Kulkarni,2023PE7905,IT
Ananya Joshi,2023PE8208,IT
Rohan Verma,2022PE4278,IT
Ananya Deshmukh,2022PE2509,IT
Riya Sharma,2023PE8988,IT
Riya Nair,2023PE2002,IT
Sanya Iyer,2022PE1649,IT
Aditya Sharma,2023PE8655,IT
Vihaan Deshmukh,2023PE9434,IT
Isha Nair,2022PE6817,IT
Tanvi Mehta,2022PE8490,IT
Karan Mehta,2022PE7959,IT
Isha Verma,2023PE3916,IT
Riya Mehta,2022PE1032,IT
Kiara Nair,2022PE7112,IT
Tanvi Kulkarni,2023PE5802,IT
Aarav Nair,2022PE6573,IT
Isha Iyer,2023PE7562,IT
Rohan Patil,2023PE3675,IT
Aditya Mehta,2022PE2915,IT
Tanvi Nair,2022PE6666,IT
Aarav Verma,2023PE7994,IT
Kiara Gupta,2023PE5260,IT
Riya Deshmukh,2023PE6122,IT
Isha Verma,2022PE1039,IT
Rohan Kulkarni,2022PE4785,IT
Aarav Joshi,2023PE6037,IT
Sanya Patil,2022PE6392,IT
Sanya Mehta,2022PE2928,IT
