Name,Admission_Number,Department
Aarav Mehta,2023PE1100,ECS
Aaryan Choudhury,2026PE1101,ECS
Kyra Patel,2026PE1102,ECS
Zara Reddy,2025PE1103,ECS
Sarah Reddy,2023PE1104,ECS
Ishani Malhotra,2025PE1105,ECS
Sahil Bose,2024PE1106,ECS
Anaya Khan,2024PE1107,ECS
Vihaan Mehta,2024PE1108,ECS
Reyansh Khan,2025PE1109,ECS
Kyra Kulkarni,2026PE1110,ECS
Ishaan Deshmukh,2025PE1111,ECS
Saira Deshmukh,2025PE1112,ECS
Sai Reddy,2026PE1113,ECS
Sarah Patel,2024PE1114,ECS
Rohan Iyer,2023PE1115,ECS
Meera Kulkarni,2026PE1116,ECS
Aarav Gadhavi,2026PE1117,ECS
Arjun D'Souza,2023PE1118,ECS
Priya Choudhury,2023PE1119,ECS
Myra Reddy,2024PE1120,ECS
Anaya Sharma,2024PE1121,ECS
Kabir Patel,2024PE1122,ECS
Rohan Mehta,2024PE1123,ECS
Kyra Reddy,2025PE1124,ECS
Saira Kulkarni,2024PE1125,ECS
Vihaan Choudhury,2023PE1126,ECS
Saira Joshi,2024PE1127,ECS
Advait Gupta,2024PE1128,ECS
Myra Kulkarni,2024PE1129,ECS
Rohan Iyer,2023PE1130,ECS
Vihaan Patel,2025PE1131,ECS
Priya Bose,2023PE1132,ECS
Kevin Choudhury,2026PE1133,ECS
Sahil Khan,2026PE1134,ECS
Sarah Choudhury,2023PE1135,ECS
Priya Singh,2025PE1136,ECS
Emily Khan,2023PE1137,ECS
Anaya Malhotra,2025PE1138,ECS
Aarav Gupta,2023PE1139,ECS
Sai Joshi,2026PE1140,ECS
Sai Gupta,2026PE1141,ECS
Ishani Menon,2023PE1142,ECS
Ishani Choudhury,2023PE1143,ECS
Advait Gadhavi,2024PE1144,ECS
Vihaan Choudhury,2026PE1145,ECS
Ishani Gadhavi,2026PE1146,ECS
Ishaan Verma,2025PE1147,ECS
Ishani Deshmukh,2026PE1148,ECS
Anaya Menon,2024PE1149,ECS
