Name,Admission_Number,Department
Ishani Joshi,2024PE1150,EXTC
Kevin Deshmukh,2026PE1151,EXTC
Vihaan Reddy,2026PE1152,EXTC
Aavya Sharma,2023PE1153,EXTC
Zara Verma,2026PE1154,EXTC
Aavya Joshi,2025PE1155,EXTC
Anaya Iyer,2026PE1156,EXTC
Kevin Gadhavi,2025PE1157,EXTC
Kyra Reddy,2026PE1158,EXTC
Arjun Deshmukh,2026PE1159,EXTC
Sarah Malhotra,2023PE1160,EXTC
Saanvi Gadhavi,2023PE1161,EXTC
Vihaan Singh,2023PE1162,EXTC
Isha Reddy,2024PE1163,EXTC
Rohan D'Souza,2026PE1164,EXTC
Rohan Mehta,2026PE1165,EXTC
Kabir Iyer,2023PE1166,EXTC
Anaya Singh,2025PE1167,EXTC
Isha Singh,2026PE1168,EXTC
Priya Gadhavi,2025PE1169,EXTC
Kevin Kulkarni,2023PE1170,EXTC
Myra Das,2025PE1171,EXTC
Rohan Kulkarni,2023PE1172,EXTC
Anaya Mehta,2025PE1173,EXTC
Aavya Malhotra,2023PE1174,EXTC
Priya Sharma,2025PE1175,EXTC
Advait Deshmukh,2023PE1176,EXTC
Saira Sharma,2025PE1177,EXTC
Sarah Singh,2025PE1178,EXTC
Meera Bose,2023PE1179,EXTC
Sarah Iyer,2023PE1180,EXTC
Ishaan Deshmukh,2024PE1181,EXTC
Sai Iyer,2023PE1182,EXTC
Emily Das,2023PE1183,EXTC
Saira Deshmukh,2026PE1184,EXTC
Kyra Gadhavi,2025PE1185,EXTC
Kevin Gupta,2023PE1186,EXTC
Aaryan Kulkarni,2023PE1187,EXTC
Sahil Sharma,2023PE1188,EXTC
Kabir Mehta,2025PE1189,EXTC
Myra Deshmukh,2023PE1190,EXTC
Priya Gupta,2024PE1191,EXTC
Emily Nair,2025PE1192,EXTC
Priya D'Souza,2024PE1193,EXTC
Priya Nair,2025PE1194,EXTC
Arjun Das,2024PE1195,EXTC
Sai Malhotra,2025PE1196,EXTC
Sahil Das,2025PE1197,EXTC
Isha Patel,2023PE1198,EXTC
Aditya Patel,2024PE1199,EXTC
