Name,Admission_Number,Department
Zara Gupta,2026PE1050,Information Technology
Zara Nair,2023PE1051,Information Technology
Zara Bose,2026PE1052,Information Technology
Vihaan Reddy,2023PE1053,Information Technology
Priya Khan,2025PE1054,Information Technology
Myra Singh,2023PE1055,Information Technology
Zara Verma,2025PE1056,Information Technology
Kabir Verma,2024PE1057,Information Technology
Anaya Bose,2023PE1058,Information Technology
Reyansh Deshmukh,2026PE1059,Information Technology
Sarah Kulkarni,2025PE1060,Information Technology
Aaryan Gadhavi,2023PE1061,Information Technology
Advait Malhotra,2026PE1062,Information Technology
Ishaan Gadhavi,2024PE1063,Information Technology
Kevin Reddy,2023PE1064,Information Technology
Sai Bose,2023PE1065,Information Technology
Aaryan Kulkarni,2023PE1066,Information Technology
Sai D'Souza,2026PE1067,Information Technology
Arjun Menon,2025PE1068,Information Technology
Aaryan Nair,2025PE1069,Information Technology
Kevin D'Souza,2026PE1070,Information Technology
Meera Das,2026PE1071,Information Technology
Priya Das,2025PE1072,Information Technology
Arjun Das,2023PE1073,Information Technology
Diya Gupta,2023PE1074,Information Technology
Rohan Sharma,2026PE1075,Information Technology
Advait Gupta,2025PE1076,Information Technology
Ishani Menon,2023PE1077,Information Technology
John Gupta,2026PE1078,Information Technology
Zara Singh,2024PE1079,Information Technology
Rohan Reddy,2024PE1080,Information Technology
Vihaan Khan,2026PE1081,Information Technology
Sai Gadhavi,2025PE1082,Information Technology
Priya Reddy,2025PE1083,Information Technology
Aavya Mehta,2025PE1084,Information Technology
Advait Deshmukh,2026PE1085,Information Technology
Diya Sharma,2026PE1086,Information Technology
Arjun Gadhavi,2025PE1087,Information Technology
Sarah Reddy,2025PE1088,Information Technology
Saira Khan,2025PE1089,Information Technology
Sahil Verma,2026PE1090,Information Technology
Myra Choudhury,2023PE1091,Information Technology
Isha Das,2023PE1092,Information Technology
Myra Khan,2026PE1093,Information Technology
Arjun Singh,2023PE1094,Information Technology
John Khan,2026PE1095,Information Technology
Arjun Mehta,2025PE1096,Information Technology
Aavya Reddy,2023PE1097,Information Technology
Vihaan Deshmukh,2023PE1098,Information Technology
Ishani Patel,2025PE1099,Information Technology
