Name,Admission_Number,Department
Arjun Deshmukh,2024PE5958,CS
Aarav Iyer,2024PE1030,CS
Diya Joshi,2023PE6234,CS
Diya Patil,2023PE6317,CS
Ananya Kulkarni,2022PE9216,CS
Arjun Verma,2023PE9379,CS
Arjun Sharma,2023PE7484,CS
Kiara Nair,2022PE1609,CS
Rohan Sharma,2022PE2385,CS
Diya Mehta,2024PE7222,CS
Ananya Iyer,2022PE5931,CS
Aditya Nair,2023PE8918,CS
Tanvi Nair,2022PE6147,CS
Isha Sharma,2022PE5499,CS
Arjun Kulkarni,2022PE7400,CS
Isha Deshmukh,2024PE3081,CS
Tanvi Patil,2024PE5622,CS
Kiara Deshmukh,2024PE9834,CS
Aarav Mehta,2024PE1934,CS
Diya Iyer,2024PE6608,CS
Aarav Patil,2023PE1753,CS
Arjun Gupta,2023PE6637,CS
Ishaan Nair,2024PE9817,CS
Tanvi Iyer,2023PE4668,CS
Vihaan Verma,2024PE6948,CS
Ishaan Iyer,2024PE1641,CS
Tanvi Gupta,2024PE6792,CS
Diya Kulkarni,2023PE9521,CS
Ananya Deshmukh,2024PE3816,CS
Vihaan Patil,2024PE6104,CS
Ishaan Mehta,2023PE9656,CS
Aditya Verma,2022PE7949,CS
Tanvi Mehta,2022PE5334,CS
Sanya Kulkarni,2024PE9699,CS
Aarav Joshi,2022PE5609,CS
Vihaan Nair,2023PE8074,CS
Kiara Joshi,2024PE1004,CS
Sanya Sharma,2023PE2446,CS
Kiara Kulkarni,2024PE4134,CS
Aarav Gupta,2024PE3779,CS
Ishaan Deshmukh,2023PE2197,CS
Rohan Verma,2024PE2383,CS
Aditya Sharma,2024PE3317,CS
Arjun Nair,2022PE9017,CS
Rohan Iyer,2023PE8528,CS
Vihaan Deshmukh,2024PE6337,CS
Aditya Joshi,2024PE8755,CS
Aditya Kulkarni,2024PE5084,CS
Sanya Patil,2024PE8788,CS
Arjun Patil,2024PE3894,CS
Ishaan Sharma,2022PE9576,IT
Sanya Deshmukh,2024PE5035,IT
Sanya Nair,2022PE5378,IT
Diya Deshmukh,2023PE2382,IT
Diya Gupta,2024PE7855,IT
Rohan Deshmukh,2022PE5607,IT
Sanya Verma,2022PE9810,IT
Isha Kulkarni,2024PE4211,IT
Sanya Mehta,2024PE5050,IT
Arjun Iyer,2022PE5160,IT
Ishaan Verma,2024PE6830,IT
Kiara Sharma,2022PE9620,IT
Ishaan Kulkarni,2024PE8304,IT
Rohan Joshi,2023PE6992,IT
Vihaan Joshi,2024PE7272,IT
Diya Nair,2024PE6094,IT
Aarav Nair,2024PE9881,IT
Vihaan Kulkarni,2022PE2154,IT
Rohan Kulkarni,2022PE5131,IT
Sanya Gupta,2024PE6130,IT
Kiara Gupta,2024PE7088,IT
Rohan Patil,2022PE7622,IT
Ananya Mehta,2024PE3040,IT
Aarav Verma,2024PE4373,IT
Tanvi Sharma,2024PE5060,IT
Ananya Joshi,2023PE6150,IT
Ananya Gupta,2024PE6771,IT
Tanvi Verma,2024PE1453,IT
Kiara Patil,2022PE8522,IT
Rohan Gupta,2023PE8040,IT
Ananya Sharma,2024PE2846,IT
Aarav Sharma,2022PE6203,IT
Isha Verma,2024PE5786,IT
Vihaan Sharma,2023PE2818,IT
Aditya Iyer,2023PE2132,IT
Tanvi Deshmukh,2023PE5983,IT
Vihaan Mehta,2022PE6055,IT
Isha Patil,2023PE3208,IT
Arjun Mehta,2024PE8435,IT
Isha Nair,2022PE2006,IT
Ishaan Gupta,2024PE2675,IT
Isha Joshi,2024PE8564,IT
Ananya Patil,2022PE6915,IT
Vihaan Gupta,2022PE5333,IT
Aditya Gupta,2024PE4098,IT
Isha Mehta,2023PE3075,IT
Aditya Mehta,2022PE1842,IT
Ananya Verma,2024PE6005,IT
Kiara Iyer,2024PE4898,IT
Kiara Verma,2023PE7115,IT
Tanvi Kulkarni,2024PE5694,ECS
Diya Verma,2022PE3973,ECS
Isha Gupta,2023PE5730,ECS
Ishaan Joshi,2022PE7711,ECS
Arjun Joshi,2023PE1978,ECS
Sanya Joshi,2024PE5913,ECS
Ishaan Patil,2024PE5475,ECS
Ananya Nair,2022PE2669,ECS
Diya Sharma,2023PE2390,ECS
Sanya Iyer,2024PE5192,ECS
Isha Iyer,2023PE2125,ECS
Kiara Mehta,2022PE1141,ECS
Aditya Patil,2023PE5605,ECS
Vihaan Iyer,2022PE4417,ECS
Aarav Deshmukh,2024PE3765,ECS
Aarav Kulkarni,2023PE3838,ECS
Tanvi Joshi,2024PE4954,ECS
Rohan Mehta,2022PE3378,ECS
Aditya Deshmukh,2023PE2386,ECS
Rohan Nair,2023PE8963,ECS
Aditya Mehta 65,2024PE5382,ECS
Isha Sharma 78,2022PE5831,ECS
Aarav Sharma 72,2024PE4772,ECS
Tanvi Gupta 50,2024PE8089,ECS
Diya Mehta 31,2024PE6266,ECS
Aditya Patil 63,2023PE4695,ECS
Vihaan Nair 88,2022PE8185,ECS
Kiara Sharma 90,2022PE7324,ECS
Ishaan Nair 61,2022PE7006,ECS
Rohan Patil 52,2024PE8848,ECS
Tanvi Nair 87,2023PE1349,ECS
Rohan Mehta 30,2023PE2219,ECS
Arjun Iyer 89,2023PE2157,ECS
Diya Mehta 60,2023PE8454,ECS
Ananya Iyer 32,2022PE9858,ECS
Tanvi Deshmukh 25,2024PE6524,ECS
Diya Nair 60,2024PE3901,ECS
Aditya Gupta 36,2024PE9803,ECS
Isha Mehta 46,2024PE5456,ECS
Rohan Mehta 73,2022PE2636,ECS
Aarav Mehta 10,2024PE9563,ECS
Aarav Patil 14,2024PE3666,ECS
Ishaan Deshmukh 2,2024PE9291,ECS
Tanvi Patil 92,2023PE4080,ECS
Sanya Iyer 74,2024PE2556,ECS
Rohan Sharma 87,2024PE1567,ECS
Ishaan Patil 84,2024PE4199,ECS
Isha Deshmukh 12,2022PE7619,ECS
Aditya Joshi 3,2023PE8364,ECS
Tanvi Verma 95,2023PE2520,ECS
Arjun Gupta 32,2024PE3537,EXTC
Aditya Sharma 66,2023PE8974,EXTC
Diya Patil 2,2023PE8033,EXTC
Aarav Verma 15,2024PE2440,EXTC
Tanvi Nair 77,2022PE8417,EXTC
Ananya Verma 34,2023PE9669,EXTC
Rohan Sharma 44,2023PE5978,EXTC
Rohan Iyer 75,2024PE2151,EXTC
Vihaan Joshi 93,2023PE5195,EXTC
Ishaan Mehta 31,2024PE8440,EXTC
Aditya Gupta 96,2023PE4569,EXTC
Arjun Mehta 54,2022PE6368,EXTC
Aarav Kulkarni 63,2024PE1018,EXTC
Aarav Joshi 69,2023PE7730,EXTC
Tanvi Mehta 2,2023PE8436,EXTC
Diya Sharma 81,2024PE9764,EXTC
Aditya Sharma 19,2023PE9780,EXTC
Rohan Deshmukh 61,2022PE6459,EXTC
Ishaan Verma 30,2024PE5447,EXTC
Rohan Joshi 95,2022PE6438,EXTC
Tanvi Mehta 9,2022PE5059,EXTC
Arjun Kulkarni 64,2023PE2681,EXTC
Ananya Deshmukh 82,2023PE6332,EXTC
Rohan Patil 83,2022PE8007,EXTC
Kiara Kulkarni 33,2024PE1077,EXTC
Sanya Kulkarni 43,2023PE9237,EXTC
Vihaan Gupta 97,2024PE6636,EXTC
Diya Nair 44,2022PE5739,EXTC
Isha Iyer 7,2024PE1557,EXTC
Diya Patil 98,2023PE2040,EXTC
Tanvi Deshmukh 84,2024PE2868,EXTC
Aarav Deshmukh 88,2022PE8462,EXTC
Diya Mehta 50,2024PE1666,EXTC
Diya Gupta 61,2024PE6356,EXTC
Sanya Sharma 57,2022PE5370,EXTC
Aarav Joshi 3,2023PE1952,EXTC
Vihaan Patil 59,2022PE5180,EXTC
Sanya Gupta 41,2023PE2789,EXTC
Aarav Patil 58,2022PE9317,EXTC
Vihaan Verma 70,2024PE1574,EXTC
Vihaan Verma 22,2023PE2205,EXTC
Ishaan Iyer 74,2023PE8111,EXTC
Vihaan Mehta 27,2023PE9640,EXTC
Sanya Gupta 32,2022PE1877,EXTC
Arjun Joshi 67,2023PE4483,EXTC
Tanvi Patil 12,2022PE3542,EXTC
Rohan Deshmukh 81,2024PE2984,EXTC
Ananya Verma 72,2022PE1999,EXTC
Ananya Patil 54,2023PE8646,EXTC
Aditya Kulkarni 66,2024PE7300,EXTC
Vihaan Verma 69,2023PE6649,MECH
Vihaan Joshi 58,2023PE7336,MECH
Ananya Iyer 16,2023PE4935,MECH
Tanvi Kulkarni 49,2023PE3069,MECH
Aarav Nair 12,2023PE6834,MECH
Kiara Iyer 31,2023PE4525,MECH
Aditya Mehta 88,2022PE2960,MECH
Isha Verma 62,2023PE9850,MECH
Aarav Sharma 21,2023PE8370,MECH
Kiara Patil 40,2023PE8873,MECH
Aarav Deshmukh 33,2023PE6002,MECH
Ishaan Nair 89,2022PE3804,MECH
Vihaan Mehta 52,2024PE7288,MECH
Kiara Nair 90,2023PE9426,MECH
Kiara Sharma 78,2022PE5220,MECH
Tanvi Nair 16,2022PE5319,MECH
Kiara Patil 26,2022PE7093,MECH
Vihaan Nair 84,2022PE8016,MECH
Isha Verma 93,2023PE5021,MECH
Isha Mehta 16,2022PE6464,MECH
