Name,Admission_Number,Department
Riya Iyer,2022PE8435,CS
Arjun Patil,2022PE8795,CS
Sanya Patil,2022PE4878,CS
Ananya Joshi,2023PE4774,CS
Vihaan Mehta,2022PE1468,CS
Arjun Verma,2023PE4974,CS
Aarav Iyer,2022PE2787,CS
Sanya Joshi,2023PE8960,CS
Ananya Gupta,2023PE2585,CS
Isha Patil,2022PE5007,CS
Sanya Deshmukh,2022PE5227,CS
Kiara Iyer,2022PE8153,CS
Arjun Joshi,2023PE9722,CS
Kiara Gupta,2023PE9811,CS
Sanya Mehta,2023PE4677,CS
Sanya Sharma,2022PE9867,CS
Kiara Joshi,2022PE7309,CS
Riya Mehta,2023PE1157,CS
Tanvi Mehta,2022PE9394,CS
Aditya Kulkarni,2022PE8345,CS
Arjun Deshmukh,2023PE2334,CS
Aditya Patil,2023PE7008,CS
Arjun Sharma,2023PE3997,CS
Arjun Patil,2022PE1242,CS
Arjun Joshi,2023PE2634,CS
Vihaan Sharma,2023PE4455,CS
Tanvi Iyer,2022PE2043,CS
Tanvi Patil,2022PE8439,CS
Kiara Nair,2023PE7206,CS
Aditya Joshi,2023PE4788,CS
Arjun Nair,2023PE8167,CS
Sanya Mehta,2022PE2980,CS
Arjun Verma,2022PE5288,CS
Vihaan Deshmukh,2022PE4557,CS
Riya Patil,2022PE6712,CS
Isha Joshi,2022PE9838,CS
Vihaan Mehta,2023PE1678,CS
Tanvi Mehta,2023PE2589,CS
Aarav Verma,2023PE9110,CS
Arjun Sharma,2022PE9901,CS
Karan Nair,2023PE5909,CS
Karan Sharma,2022PE3717,CS
Riya Gupta,2023PE5496,CS
Tanvi Kulkarni,2023PE3783,CS
Vihaan Verma,2023PE4200,CS
Isha Patil,2022PE2536,CS
Aditya Joshi,2022PE2052,CS
Riya Iyer,2022PE4011,CS
Aarav Patil,2023PE9513,CS
Ananya Kulkarni,2023PE6392,CS
Isha Sharma,2023PE1415,IT
Aarav Deshmukh,2023PE2561,IT
Karan Sharma,2023PE9807,IT
Karan Nair,2023PE9345,IT
Vihaan Verma,2023PE9789,IT
Tanvi Iyer,2023PE6592,IT
Karan Mehta,2022PE3828,IT
Kiara Patil,2023PE9132,IT
Rohan Kulkarni,2023PE2523,IT
Ananya Sharma,2023PE9721,IT
Rohan Kulkarni,2023PE3354,IT
Aditya Joshi,2023PE9572,IT
Isha Gupta,2022PE4197,IT
Isha Deshmukh,2022PE8426,IT
Ananya Kulkarni,2022PE8789,IT
Aditya Iyer,2022PE8059,IT
Aditya Joshi,2022PE4873,IT
Kiara Joshi,2023PE5740,IT
Kiara Sharma,2022PE9220,IT
Isha Iyer,2022PE8632,IT
Arjun Kulkarni,2023PE7905,IT
Ananya Joshi,2023PE8208,IT
Rohan Verma,2022PE4278,IT
Ananya Deshmukh,2022PE2509,IT
Riya Sharma,2023PE8988,IT
Riya Nair,2023PE2002,IT
Sanya Iyer,2022PE1649,IT
Aditya Sharma,2023PE8655,IT
Vihaan Deshmukh,2023PE9434,IT
Isha Nair,2022PE6817,IT
Tanvi Mehta,2022PE8490,IT
Karan Mehta,2022PE7959,IT
Isha Verma,2023PE3916,IT
Riya Mehta,2022PE1032,IT
Kiara Nair,2022PE7112,IT
Tanvi Kulkarni,2023PE5802,IT
Aarav Nair,2022PE6573,IT
Isha Iyer,2023PE7562,IT
Rohan Patil,2023PE3675,IT
Aditya Mehta,2022PE2915,IT
Tanvi Nair,2022PE6666,IT
Aarav Verma,2023PE7994,IT
Kiara Gupta,2023PE5260,IT
Riya Deshmukh,2023PE6122,IT
Isha Verma,2022PE1039,IT
Rohan Kulkarni,2022PE4785,IT
Aarav Joshi,2023PE6037,IT
Sanya Patil,2022PE6392,IT
Sanya Mehta,2022PE2928,IT
Aarav Deshmukh,2022PE7846,ECS
Rohan Iyer,2022PE9892,ECS
